Algorithm,Description,precision
GaussianNB,Naive Bayes algoritmo,0.555555555556
BernoulliNB,Naive Bayes algoritmo,0.555555555556
SAMME,AdaBoostClassifier con 10 estimadores,0.722222222222
SAMME,AdaBoostClassifier con 20 estimadores,0.722222222222
SAMME,AdaBoostClassifier con 50 estimadores,0.722222222222
SAMME,AdaBoostClassifier con 100 estimadores,0.722222222222
SAMME,AdaBoostClassifier con 150 estimadores,0.722222222222
SAMME,AdaBoostClassifier con 200 estimadores,0.722222222222
SAMME,AdaBoostClassifier con 250 estimadores,0.722222222222
SAMME,AdaBoostClassifier con 500 estimadores,0.722222222222
SAMME,AdaBoostClassifier con 750 estimadores,0.722222222222
SAMME,AdaBoostClassifier con 1000 estimadores,0.666666666667
SAMME,AdaBoostClassifier con 1500 estimadores,0.666666666667
SAMME.R,AdaBoostClassifier con 10 estimadores,0.444444444444
SAMME.R,AdaBoostClassifier con 20 estimadores,0.444444444444
SAMME.R,AdaBoostClassifier con 50 estimadores,0.333333333333
SAMME.R,AdaBoostClassifier con 100 estimadores,0.333333333333
SAMME.R,AdaBoostClassifier con 150 estimadores,0.333333333333
SAMME.R,AdaBoostClassifier con 200 estimadores,0.333333333333
SAMME.R,AdaBoostClassifier con 250 estimadores,0.333333333333
SAMME.R,AdaBoostClassifier con 500 estimadores,0.333333333333
SAMME.R,AdaBoostClassifier con 750 estimadores,0.333333333333
SAMME.R,AdaBoostClassifier con 1000 estimadores,0.333333333333
SAMME.R,AdaBoostClassifier con 1500 estimadores,0.333333333333
auto,KNN con 1 vecinos peso: uniform metrica: minkowski,0.555555555556
auto,KNN con 2 vecinos peso: uniform metrica: minkowski,0.666666666667
auto,KNN con 3 vecinos peso: uniform metrica: minkowski,0.5
auto,KNN con 4 vecinos peso: uniform metrica: minkowski,0.388888888889
auto,KNN con 5 vecinos peso: uniform metrica: minkowski,0.555555555556
auto,KNN con 6 vecinos peso: uniform metrica: minkowski,0.5
auto,KNN con 7 vecinos peso: uniform metrica: minkowski,0.555555555556
auto,KNN con 1 vecinos peso: uniform metrica: euclidean,0.555555555556
auto,KNN con 2 vecinos peso: uniform metrica: euclidean,0.666666666667
auto,KNN con 3 vecinos peso: uniform metrica: euclidean,0.5
auto,KNN con 4 vecinos peso: uniform metrica: euclidean,0.388888888889
auto,KNN con 5 vecinos peso: uniform metrica: euclidean,0.555555555556
auto,KNN con 6 vecinos peso: uniform metrica: euclidean,0.5
auto,KNN con 7 vecinos peso: uniform metrica: euclidean,0.555555555556
auto,KNN con 1 vecinos peso: distance metrica: minkowski,0.555555555556
auto,KNN con 2 vecinos peso: distance metrica: minkowski,0.555555555556
auto,KNN con 3 vecinos peso: distance metrica: minkowski,0.5
auto,KNN con 4 vecinos peso: distance metrica: minkowski,0.5
auto,KNN con 5 vecinos peso: distance metrica: minkowski,0.5
auto,KNN con 6 vecinos peso: distance metrica: minkowski,0.5
auto,KNN con 7 vecinos peso: distance metrica: minkowski,0.5
auto,KNN con 1 vecinos peso: distance metrica: euclidean,0.555555555556
auto,KNN con 2 vecinos peso: distance metrica: euclidean,0.555555555556
auto,KNN con 3 vecinos peso: distance metrica: euclidean,0.5
auto,KNN con 4 vecinos peso: distance metrica: euclidean,0.5
auto,KNN con 5 vecinos peso: distance metrica: euclidean,0.5
auto,KNN con 6 vecinos peso: distance metrica: euclidean,0.5
auto,KNN con 7 vecinos peso: distance metrica: euclidean,0.5
ball_tree,KNN con 1 vecinos peso: uniform metrica: minkowski,0.555555555556
ball_tree,KNN con 2 vecinos peso: uniform metrica: minkowski,0.666666666667
ball_tree,KNN con 3 vecinos peso: uniform metrica: minkowski,0.5
ball_tree,KNN con 4 vecinos peso: uniform metrica: minkowski,0.388888888889
ball_tree,KNN con 5 vecinos peso: uniform metrica: minkowski,0.555555555556
ball_tree,KNN con 6 vecinos peso: uniform metrica: minkowski,0.5
ball_tree,KNN con 7 vecinos peso: uniform metrica: minkowski,0.555555555556
ball_tree,KNN con 1 vecinos peso: uniform metrica: euclidean,0.555555555556
ball_tree,KNN con 2 vecinos peso: uniform metrica: euclidean,0.666666666667
ball_tree,KNN con 3 vecinos peso: uniform metrica: euclidean,0.5
ball_tree,KNN con 4 vecinos peso: uniform metrica: euclidean,0.388888888889
ball_tree,KNN con 5 vecinos peso: uniform metrica: euclidean,0.555555555556
ball_tree,KNN con 6 vecinos peso: uniform metrica: euclidean,0.5
ball_tree,KNN con 7 vecinos peso: uniform metrica: euclidean,0.555555555556
ball_tree,KNN con 1 vecinos peso: distance metrica: minkowski,0.555555555556
ball_tree,KNN con 2 vecinos peso: distance metrica: minkowski,0.555555555556
ball_tree,KNN con 3 vecinos peso: distance metrica: minkowski,0.5
ball_tree,KNN con 4 vecinos peso: distance metrica: minkowski,0.5
ball_tree,KNN con 5 vecinos peso: distance metrica: minkowski,0.5
ball_tree,KNN con 6 vecinos peso: distance metrica: minkowski,0.5
ball_tree,KNN con 7 vecinos peso: distance metrica: minkowski,0.5
ball_tree,KNN con 1 vecinos peso: distance metrica: euclidean,0.555555555556
ball_tree,KNN con 2 vecinos peso: distance metrica: euclidean,0.555555555556
ball_tree,KNN con 3 vecinos peso: distance metrica: euclidean,0.5
ball_tree,KNN con 4 vecinos peso: distance metrica: euclidean,0.5
ball_tree,KNN con 5 vecinos peso: distance metrica: euclidean,0.5
ball_tree,KNN con 6 vecinos peso: distance metrica: euclidean,0.5
ball_tree,KNN con 7 vecinos peso: distance metrica: euclidean,0.5
kd_tree,KNN con 1 vecinos peso: uniform metrica: minkowski,0.555555555556
kd_tree,KNN con 2 vecinos peso: uniform metrica: minkowski,0.666666666667
kd_tree,KNN con 3 vecinos peso: uniform metrica: minkowski,0.5
kd_tree,KNN con 4 vecinos peso: uniform metrica: minkowski,0.388888888889
kd_tree,KNN con 5 vecinos peso: uniform metrica: minkowski,0.555555555556
kd_tree,KNN con 6 vecinos peso: uniform metrica: minkowski,0.5
kd_tree,KNN con 7 vecinos peso: uniform metrica: minkowski,0.555555555556
kd_tree,KNN con 1 vecinos peso: uniform metrica: euclidean,0.555555555556
kd_tree,KNN con 2 vecinos peso: uniform metrica: euclidean,0.666666666667
kd_tree,KNN con 3 vecinos peso: uniform metrica: euclidean,0.5
kd_tree,KNN con 4 vecinos peso: uniform metrica: euclidean,0.388888888889
kd_tree,KNN con 5 vecinos peso: uniform metrica: euclidean,0.555555555556
kd_tree,KNN con 6 vecinos peso: uniform metrica: euclidean,0.5
kd_tree,KNN con 7 vecinos peso: uniform metrica: euclidean,0.555555555556
kd_tree,KNN con 1 vecinos peso: distance metrica: minkowski,0.555555555556
kd_tree,KNN con 2 vecinos peso: distance metrica: minkowski,0.555555555556
kd_tree,KNN con 3 vecinos peso: distance metrica: minkowski,0.5
kd_tree,KNN con 4 vecinos peso: distance metrica: minkowski,0.5
kd_tree,KNN con 5 vecinos peso: distance metrica: minkowski,0.5
kd_tree,KNN con 6 vecinos peso: distance metrica: minkowski,0.5
kd_tree,KNN con 7 vecinos peso: distance metrica: minkowski,0.5
kd_tree,KNN con 1 vecinos peso: distance metrica: euclidean,0.555555555556
kd_tree,KNN con 2 vecinos peso: distance metrica: euclidean,0.555555555556
kd_tree,KNN con 3 vecinos peso: distance metrica: euclidean,0.5
kd_tree,KNN con 4 vecinos peso: distance metrica: euclidean,0.5
kd_tree,KNN con 5 vecinos peso: distance metrica: euclidean,0.5
kd_tree,KNN con 6 vecinos peso: distance metrica: euclidean,0.5
kd_tree,KNN con 7 vecinos peso: distance metrica: euclidean,0.5
brute,KNN con 1 vecinos peso: uniform metrica: minkowski,0.555555555556
brute,KNN con 2 vecinos peso: uniform metrica: minkowski,0.666666666667
brute,KNN con 3 vecinos peso: uniform metrica: minkowski,0.5
brute,KNN con 4 vecinos peso: uniform metrica: minkowski,0.388888888889
brute,KNN con 5 vecinos peso: uniform metrica: minkowski,0.555555555556
brute,KNN con 6 vecinos peso: uniform metrica: minkowski,0.5
brute,KNN con 7 vecinos peso: uniform metrica: minkowski,0.555555555556
brute,KNN con 1 vecinos peso: uniform metrica: euclidean,0.555555555556
brute,KNN con 2 vecinos peso: uniform metrica: euclidean,0.666666666667
brute,KNN con 3 vecinos peso: uniform metrica: euclidean,0.5
brute,KNN con 4 vecinos peso: uniform metrica: euclidean,0.388888888889
brute,KNN con 5 vecinos peso: uniform metrica: euclidean,0.555555555556
brute,KNN con 6 vecinos peso: uniform metrica: euclidean,0.5
brute,KNN con 7 vecinos peso: uniform metrica: euclidean,0.555555555556
brute,KNN con 1 vecinos peso: distance metrica: minkowski,0.555555555556
brute,KNN con 2 vecinos peso: distance metrica: minkowski,0.555555555556
brute,KNN con 3 vecinos peso: distance metrica: minkowski,0.5
brute,KNN con 4 vecinos peso: distance metrica: minkowski,0.5
brute,KNN con 5 vecinos peso: distance metrica: minkowski,0.5
brute,KNN con 6 vecinos peso: distance metrica: minkowski,0.5
brute,KNN con 7 vecinos peso: distance metrica: minkowski,0.5
