Algorithm,Description,tn
GaussianNB,Naive Bayes algoritmo,10
BernoulliNB,Naive Bayes algoritmo,12
SAMME,AdaBoostClassifier con 10 estimadores,12
SAMME,AdaBoostClassifier con 20 estimadores,7
SAMME,AdaBoostClassifier con 50 estimadores,10
SAMME,AdaBoostClassifier con 100 estimadores,10
SAMME,AdaBoostClassifier con 150 estimadores,9
SAMME,AdaBoostClassifier con 200 estimadores,9
SAMME,AdaBoostClassifier con 250 estimadores,9
SAMME,AdaBoostClassifier con 500 estimadores,9
SAMME,AdaBoostClassifier con 750 estimadores,9
SAMME,AdaBoostClassifier con 1000 estimadores,9
SAMME,AdaBoostClassifier con 1500 estimadores,9
SAMME.R,AdaBoostClassifier con 10 estimadores,11
SAMME.R,AdaBoostClassifier con 20 estimadores,11
SAMME.R,AdaBoostClassifier con 50 estimadores,9
SAMME.R,AdaBoostClassifier con 100 estimadores,7
SAMME.R,AdaBoostClassifier con 150 estimadores,8
SAMME.R,AdaBoostClassifier con 200 estimadores,8
SAMME.R,AdaBoostClassifier con 250 estimadores,10
SAMME.R,AdaBoostClassifier con 500 estimadores,9
SAMME.R,AdaBoostClassifier con 750 estimadores,9
SAMME.R,AdaBoostClassifier con 1000 estimadores,9
SAMME.R,AdaBoostClassifier con 1500 estimadores,9
auto,KNN con 1 vecinos peso: uniform metrica: minkowski,8
auto,KNN con 2 vecinos peso: uniform metrica: minkowski,14
auto,KNN con 3 vecinos peso: uniform metrica: minkowski,9
auto,KNN con 4 vecinos peso: uniform metrica: minkowski,12
auto,KNN con 5 vecinos peso: uniform metrica: minkowski,9
auto,KNN con 6 vecinos peso: uniform metrica: minkowski,12
auto,KNN con 7 vecinos peso: uniform metrica: minkowski,12
auto,KNN con 8 vecinos peso: uniform metrica: minkowski,15
auto,KNN con 9 vecinos peso: uniform metrica: minkowski,14
auto,KNN con 1 vecinos peso: uniform metrica: euclidean,8
auto,KNN con 2 vecinos peso: uniform metrica: euclidean,14
auto,KNN con 3 vecinos peso: uniform metrica: euclidean,9
auto,KNN con 4 vecinos peso: uniform metrica: euclidean,12
auto,KNN con 5 vecinos peso: uniform metrica: euclidean,9
auto,KNN con 6 vecinos peso: uniform metrica: euclidean,12
auto,KNN con 7 vecinos peso: uniform metrica: euclidean,12
auto,KNN con 8 vecinos peso: uniform metrica: euclidean,15
auto,KNN con 9 vecinos peso: uniform metrica: euclidean,14
auto,KNN con 1 vecinos peso: distance metrica: minkowski,8
auto,KNN con 2 vecinos peso: distance metrica: minkowski,8
auto,KNN con 3 vecinos peso: distance metrica: minkowski,8
auto,KNN con 4 vecinos peso: distance metrica: minkowski,8
auto,KNN con 5 vecinos peso: distance metrica: minkowski,8
auto,KNN con 6 vecinos peso: distance metrica: minkowski,8
auto,KNN con 7 vecinos peso: distance metrica: minkowski,12
auto,KNN con 8 vecinos peso: distance metrica: minkowski,12
auto,KNN con 9 vecinos peso: distance metrica: minkowski,12
auto,KNN con 1 vecinos peso: distance metrica: euclidean,8
auto,KNN con 2 vecinos peso: distance metrica: euclidean,8
auto,KNN con 3 vecinos peso: distance metrica: euclidean,8
auto,KNN con 4 vecinos peso: distance metrica: euclidean,8
auto,KNN con 5 vecinos peso: distance metrica: euclidean,8
auto,KNN con 6 vecinos peso: distance metrica: euclidean,8
auto,KNN con 7 vecinos peso: distance metrica: euclidean,12
auto,KNN con 8 vecinos peso: distance metrica: euclidean,12
auto,KNN con 9 vecinos peso: distance metrica: euclidean,12
ball_tree,KNN con 1 vecinos peso: uniform metrica: minkowski,8
ball_tree,KNN con 2 vecinos peso: uniform metrica: minkowski,14
ball_tree,KNN con 3 vecinos peso: uniform metrica: minkowski,9
ball_tree,KNN con 4 vecinos peso: uniform metrica: minkowski,12
ball_tree,KNN con 5 vecinos peso: uniform metrica: minkowski,9
ball_tree,KNN con 6 vecinos peso: uniform metrica: minkowski,12
ball_tree,KNN con 7 vecinos peso: uniform metrica: minkowski,12
ball_tree,KNN con 8 vecinos peso: uniform metrica: minkowski,15
ball_tree,KNN con 9 vecinos peso: uniform metrica: minkowski,14
ball_tree,KNN con 1 vecinos peso: uniform metrica: euclidean,8
ball_tree,KNN con 2 vecinos peso: uniform metrica: euclidean,14
ball_tree,KNN con 3 vecinos peso: uniform metrica: euclidean,9
ball_tree,KNN con 4 vecinos peso: uniform metrica: euclidean,12
ball_tree,KNN con 5 vecinos peso: uniform metrica: euclidean,9
ball_tree,KNN con 6 vecinos peso: uniform metrica: euclidean,12
ball_tree,KNN con 7 vecinos peso: uniform metrica: euclidean,12
