algoritmo,description,validation,accuracy,recall,precision,neg_log_loss,f1,ftwo_scorer
GaussianNB,Naive Bayes algoritmo,2,0.6423611111111112,0.5069444444444444,0.8333333333333333,-3.5545516809712954,0.4920634920634921,0.4924242424242424
BernoulliNB,Naive Bayes algoritmo,2,0.4444444444444444,0.0625,0.25,-0.802020241003506,0.1,0.07352941176470588
SAMME,AdaBoostClassifier con 10 estimadores,2,0.4965277777777778,0.11805555555555555,0.6666666666666666,-0.6745391213932099,0.19090909090909092,0.138996138996139
SAMME,AdaBoostClassifier con 20 estimadores,2,0.46875,0.11805555555555555,0.41666666666666663,-0.6771936881251488,0.18181818181818182,0.13721804511278196
SAMME,AdaBoostClassifier con 50 estimadores,2,0.5,0.18055555555555555,0.5,-0.6740982592403617,0.25757575757575757,0.2046783625730994
SAMME,AdaBoostClassifier con 100 estimadores,2,0.5,0.18055555555555555,0.5,-0.6766878112624113,0.25757575757575757,0.2046783625730994
SAMME,AdaBoostClassifier con 150 estimadores,2,0.5,0.18055555555555555,0.5,-0.6753882922303687,0.25757575757575757,0.2046783625730994
SAMME,AdaBoostClassifier con 200 estimadores,2,0.5,0.18055555555555555,0.5,-0.6787058976841681,0.25757575757575757,0.2046783625730994
SAMME,AdaBoostClassifier con 250 estimadores,2,0.5,0.18055555555555555,0.5,-0.6805045957591673,0.25757575757575757,0.2046783625730994
SAMME,AdaBoostClassifier con 500 estimadores,2,0.5625,0.18055555555555555,0.5833333333333333,-0.6800312332817793,0.2909090909090909,0.2128482972136223
SAMME,AdaBoostClassifier con 750 estimadores,2,0.53125,0.18055555555555555,0.5833333333333333,-0.6798080825786599,0.2727272727272727,0.2128482972136223
SAMME,AdaBoostClassifier con 1000 estimadores,2,0.5625,0.18055555555555555,0.75,-0.6852573830964934,0.2909090909090909,0.20864661654135336
SAMME,AdaBoostClassifier con 1500 estimadores,2,0.53125,0.18055555555555555,0.5833333333333333,-0.6860082563909676,0.2727272727272727,0.20864661654135336
SAMME.R,AdaBoostClassifier con 10 estimadores,2,0.5659722222222222,0.3125,0.35714285714285715,-2.9794065890387507,0.3333333333333333,0.32051282051282054
SAMME.R,AdaBoostClassifier con 20 estimadores,2,0.5034722222222222,0.125,0.3333333333333333,-2.386918947708438,0.18181818181818182,0.14285714285714285
SAMME.R,AdaBoostClassifier con 50 estimadores,2,0.46875,0.0625,0.16666666666666666,-2.3605342458506184,0.09090909090909091,0.07142857142857142
SAMME.R,AdaBoostClassifier con 100 estimadores,2,0.5,0.0625,0.25,-2.1507428874504138,0.1,0.07352941176470588
SAMME.R,AdaBoostClassifier con 150 estimadores,2,0.46875,0.125,0.5,-2.1961644565698766,0.18181818181818182,0.14285714285714285
SAMME.R,AdaBoostClassifier con 200 estimadores,2,0.53125,0.125,0.5,-2.3790808395746756,0.09090909090909091,0.14285714285714285
SAMME.R,AdaBoostClassifier con 250 estimadores,2,0.53125,0.125,0.3333333333333333,-2.4673483190453966,0.18181818181818182,0.14285714285714285
