algorithm,desc,actualScore,new score
MLPClassifier,tanh-lbfgs-invscaling (15-15-10),0.74358974359,0.51724137931
auto,minkowski-uniform KNN: 2,0.717948717949,0.568965517241
auto,euclidean-uniform KNN: 2,0.717948717949,0.568965517241
ball_tree,minkowski-uniform KNN: 2,0.717948717949,0.568965517241
ball_tree,euclidean-uniform KNN: 2,0.717948717949,0.568965517241
kd_tree,minkowski-uniform KNN: 2,0.717948717949,0.568965517241
kd_tree,euclidean-uniform KNN: 2,0.717948717949,0.568965517241
brute,minkowski-uniform KNN: 2,0.717948717949,0.568965517241
brute,euclidean-uniform KNN: 2,0.717948717949,0.568965517241
MLPClassifier,relu-lbfgs-invscaling (15-5-15),0.717948717949,0.534482758621
