algorithm,description,validation,Accuracy,Recall,Precision,Hamming,F,Cohen
Naive Bayes,GaussianNB,LOU,0.571428571429,0.571428571429,0.047619047619,0.428571428571,0.047619047619,
Naive Bayes,BernoulliNB,LOU,0.619047619048,0.619047619048,0.0,0.380952380952,0.0,
SVC,linear,LOU,0.666666666667,0.666666666667,0.0,0.333333333333,0.0,
SVC,poly,LOU,0.428571428571,0.428571428571,0.0952380952381,0.571428571429,0.0952380952381,
SVC,rbf,LOU,0.666666666667,0.666666666667,0.0,0.333333333333,0.0,
SVC,sigmoid,LOU,0.52380952381,0.52380952381,0.0,0.47619047619,0.0,
RandomForestClassifier,gini - 10,LOU,0.571428571429,0.571428571429,0.047619047619,0.428571428571,0.047619047619,
RandomForestClassifier,gini - 20,LOU,0.52380952381,0.52380952381,0.0,0.47619047619,0.0,
RandomForestClassifier,gini - 50,LOU,0.52380952381,0.52380952381,0.0,0.47619047619,0.0,
RandomForestClassifier,gini - 100,LOU,0.52380952381,0.52380952381,0.0,0.47619047619,0.0,
RandomForestClassifier,gini - 150,LOU,0.52380952381,0.52380952381,0.0,0.47619047619,0.0,
RandomForestClassifier,gini - 200,LOU,0.571428571429,0.571428571429,0.0,0.428571428571,0.0,
RandomForestClassifier,gini - 250,LOU,0.571428571429,0.571428571429,0.0,0.428571428571,0.0,
RandomForestClassifier,gini - 500,LOU,0.571428571429,0.571428571429,0.0,0.428571428571,0.0,
RandomForestClassifier,gini - 750,LOU,0.571428571429,0.571428571429,0.0,0.428571428571,0.0,
RandomForestClassifier,gini - 1000,LOU,0.571428571429,0.571428571429,0.0,0.428571428571,0.0,
RandomForestClassifier,gini - 1500,LOU,0.571428571429,0.571428571429,0.0,0.428571428571,0.0,
RandomForestClassifier,entropy - 10,LOU,0.571428571429,0.571428571429,0.047619047619,0.428571428571,0.047619047619,
RandomForestClassifier,entropy - 20,LOU,0.571428571429,0.571428571429,0.0,0.428571428571,0.0,
RandomForestClassifier,entropy - 50,LOU,0.47619047619,0.47619047619,0.0,0.52380952381,0.0,
RandomForestClassifier,entropy - 100,LOU,0.571428571429,0.571428571429,0.0,0.428571428571,0.0,
RandomForestClassifier,entropy - 150,LOU,0.619047619048,0.619047619048,0.0,0.380952380952,0.0,
RandomForestClassifier,entropy - 200,LOU,0.619047619048,0.619047619048,0.0,0.380952380952,0.0,
RandomForestClassifier,entropy - 250,LOU,0.571428571429,0.571428571429,0.0,0.428571428571,0.0,
RandomForestClassifier,entropy - 500,LOU,0.571428571429,0.571428571429,0.0,0.428571428571,0.0,
RandomForestClassifier,entropy - 750,LOU,0.571428571429,0.571428571429,0.0,0.428571428571,0.0,
RandomForestClassifier,entropy - 1000,LOU,0.571428571429,0.571428571429,0.0,0.428571428571,0.0,
RandomForestClassifier,entropy - 1500,LOU,0.571428571429,0.571428571429,0.0,0.428571428571,0.0,
NuSVC,kernel: linear,LOU,0.666666666667,0.666666666667,0.0952380952381,0.333333333333,0.0952380952381,
NuSVC,kernel: poly,LOU,0.761904761905,0.761904761905,0.0952380952381,0.238095238095,0.0952380952381,
NuSVC,kernel: rbf,LOU,0.619047619048,0.619047619048,0.0,0.380952380952,0.0,
NuSVC,kernel: sigmoid,LOU,0.47619047619,0.47619047619,0.238095238095,0.52380952381,0.238095238095,
GradientBoostingClassifier,GradientBoostingClassifier 10,LOU,0.52380952381,0.52380952381,0.047619047619,0.47619047619,0.047619047619,
GradientBoostingClassifier,GradientBoostingClassifier 20,LOU,0.47619047619,0.47619047619,0.047619047619,0.52380952381,0.047619047619,
GradientBoostingClassifier,GradientBoostingClassifier 50,LOU,0.428571428571,0.428571428571,0.047619047619,0.571428571429,0.047619047619,
GradientBoostingClassifier,GradientBoostingClassifier 100,LOU,0.47619047619,0.47619047619,0.0952380952381,0.52380952381,0.0952380952381,
GradientBoostingClassifier,GradientBoostingClassifier 150,LOU,0.428571428571,0.428571428571,0.047619047619,0.571428571429,0.047619047619,
GradientBoostingClassifier,GradientBoostingClassifier 200,LOU,0.428571428571,0.428571428571,0.047619047619,0.571428571429,0.047619047619,
GradientBoostingClassifier,GradientBoostingClassifier 250,LOU,0.47619047619,0.47619047619,0.0952380952381,0.52380952381,0.0952380952381,
GradientBoostingClassifier,GradientBoostingClassifier 500,LOU,0.47619047619,0.47619047619,0.0952380952381,0.52380952381,0.0952380952381,
GradientBoostingClassifier,GradientBoostingClassifier 750,LOU,0.47619047619,0.47619047619,0.0952380952381,0.52380952381,0.0952380952381,
GradientBoostingClassifier,GradientBoostingClassifier 1000,LOU,0.428571428571,0.428571428571,0.047619047619,0.571428571429,0.047619047619,
GradientBoostingClassifier,GradientBoostingClassifier 1500,LOU,0.428571428571,0.428571428571,0.047619047619,0.571428571429,0.047619047619,
gini,DecisionTreeClassifier gini best,LOU,0.666666666667,0.666666666667,0.142857142857,0.333333333333,0.142857142857,
gini,DecisionTreeClassifier gini random,LOU,0.428571428571,0.428571428571,0.0952380952381,0.571428571429,0.0952380952381,
entropy,DecisionTreeClassifier entropy best,LOU,0.666666666667,0.666666666667,0.142857142857,0.333333333333,0.142857142857,
entropy,DecisionTreeClassifier entropy random,LOU,0.47619047619,0.47619047619,0.142857142857,0.52380952381,0.142857142857,
SAMME,10- AdaBoostClassifier,LOU,0.666666666667,0.666666666667,0.0952380952381,0.333333333333,0.0952380952381,
SAMME,20- AdaBoostClassifier,LOU,0.619047619048,0.619047619048,0.0952380952381,0.380952380952,0.0952380952381,
SAMME,50- AdaBoostClassifier,LOU,0.619047619048,0.619047619048,0.0952380952381,0.380952380952,0.0952380952381,
SAMME,100- AdaBoostClassifier,LOU,0.52380952381,0.52380952381,0.0952380952381,0.47619047619,0.0952380952381,
SAMME,150- AdaBoostClassifier,LOU,0.571428571429,0.571428571429,0.0952380952381,0.428571428571,0.0952380952381,
SAMME,200- AdaBoostClassifier,LOU,0.47619047619,0.47619047619,0.047619047619,0.52380952381,0.047619047619,
