algorithm,description,validation,Accuracy,Recall,Precision,Hamming,F,Cohen
Naive Bayes,GaussianNB,LOU,0.5333333333333333,0.5333333333333333,0.03333333333333333,0.4666666666666667,0.03333333333333333,
Naive Bayes,BernoulliNB,LOU,0.7666666666666667,0.7666666666666667,0.0,0.23333333333333334,0.0,
SVC,linear,LOU,0.7666666666666667,0.7666666666666667,0.0,0.23333333333333334,0.0,
SVC,poly,LOU,0.5333333333333333,0.5333333333333333,0.0,0.4666666666666667,0.0,
SVC,rbf,LOU,0.7666666666666667,0.7666666666666667,0.0,0.23333333333333334,0.0,
SVC,sigmoid,LOU,0.5666666666666667,0.5666666666666667,0.0,0.43333333333333335,0.0,
RandomForestClassifier,gini - 10,LOU,0.7,0.7,0.0,0.3,0.0,
RandomForestClassifier,gini - 20,LOU,0.7,0.7,0.0,0.3,0.0,
RandomForestClassifier,gini - 50,LOU,0.7,0.7,0.0,0.3,0.0,
RandomForestClassifier,gini - 100,LOU,0.7,0.7,0.0,0.3,0.0,
RandomForestClassifier,gini - 150,LOU,0.7,0.7,0.0,0.3,0.0,
RandomForestClassifier,gini - 200,LOU,0.7,0.7,0.0,0.3,0.0,
RandomForestClassifier,gini - 250,LOU,0.7,0.7,0.0,0.3,0.0,
RandomForestClassifier,gini - 500,LOU,0.7,0.7,0.0,0.3,0.0,
RandomForestClassifier,gini - 750,LOU,0.7,0.7,0.0,0.3,0.0,
RandomForestClassifier,gini - 1000,LOU,0.7,0.7,0.0,0.3,0.0,
RandomForestClassifier,gini - 1500,LOU,0.7,0.7,0.0,0.3,0.0,
RandomForestClassifier,entropy - 10,LOU,0.7,0.7,0.0,0.3,0.0,
RandomForestClassifier,entropy - 20,LOU,0.7666666666666667,0.7666666666666667,0.0,0.23333333333333334,0.0,
RandomForestClassifier,entropy - 50,LOU,0.7333333333333333,0.7333333333333333,0.0,0.26666666666666666,0.0,
RandomForestClassifier,entropy - 100,LOU,0.7,0.7,0.0,0.3,0.0,
RandomForestClassifier,entropy - 150,LOU,0.7,0.7,0.0,0.3,0.0,
RandomForestClassifier,entropy - 200,LOU,0.7,0.7,0.0,0.3,0.0,
RandomForestClassifier,entropy - 250,LOU,0.7,0.7,0.0,0.3,0.0,
RandomForestClassifier,entropy - 500,LOU,0.7,0.7,0.0,0.3,0.0,
RandomForestClassifier,entropy - 750,LOU,0.7,0.7,0.0,0.3,0.0,
RandomForestClassifier,entropy - 1000,LOU,0.7,0.7,0.0,0.3,0.0,
RandomForestClassifier,entropy - 1500,LOU,0.7,0.7,0.0,0.3,0.0,
GradientBoostingClassifier,GradientBoostingClassifier 10,LOU,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,
GradientBoostingClassifier,GradientBoostingClassifier 20,LOU,0.5666666666666667,0.5666666666666667,0.0,0.43333333333333335,0.0,
GradientBoostingClassifier,GradientBoostingClassifier 50,LOU,0.6333333333333333,0.6333333333333333,0.0,0.36666666666666664,0.0,
GradientBoostingClassifier,GradientBoostingClassifier 100,LOU,0.5,0.5,0.0,0.5,0.0,
GradientBoostingClassifier,GradientBoostingClassifier 150,LOU,0.5666666666666667,0.5666666666666667,0.03333333333333333,0.43333333333333335,0.03333333333333333,
GradientBoostingClassifier,GradientBoostingClassifier 200,LOU,0.5666666666666667,0.5666666666666667,0.0,0.43333333333333335,0.0,
GradientBoostingClassifier,GradientBoostingClassifier 250,LOU,0.5333333333333333,0.5333333333333333,0.0,0.4666666666666667,0.0,
GradientBoostingClassifier,GradientBoostingClassifier 500,LOU,0.6,0.6,0.03333333333333333,0.4,0.03333333333333333,
GradientBoostingClassifier,GradientBoostingClassifier 750,LOU,0.5666666666666667,0.5666666666666667,0.03333333333333333,0.43333333333333335,0.03333333333333333,
GradientBoostingClassifier,GradientBoostingClassifier 1000,LOU,0.6,0.6,0.03333333333333333,0.4,0.03333333333333333,
GradientBoostingClassifier,GradientBoostingClassifier 1500,LOU,0.5666666666666667,0.5666666666666667,0.0,0.43333333333333335,0.0,
gini,DecisionTreeClassifier gini best,LOU,0.5,0.5,0.0,0.5,0.0,
gini,DecisionTreeClassifier gini random,LOU,0.5,0.5,0.03333333333333333,0.5,0.03333333333333333,
entropy,DecisionTreeClassifier entropy best,LOU,0.5666666666666667,0.5666666666666667,0.06666666666666667,0.43333333333333335,0.06666666666666667,
entropy,DecisionTreeClassifier entropy random,LOU,0.5333333333333333,0.5333333333333333,0.03333333333333333,0.4666666666666667,0.03333333333333333,
SAMME,10- AdaBoostClassifier,LOU,0.5666666666666667,0.5666666666666667,0.0,0.43333333333333335,0.0,
SAMME,20- AdaBoostClassifier,LOU,0.5666666666666667,0.5666666666666667,0.0,0.43333333333333335,0.0,
SAMME,50- AdaBoostClassifier,LOU,0.6333333333333333,0.6333333333333333,0.03333333333333333,0.36666666666666664,0.03333333333333333,
SAMME,100- AdaBoostClassifier,LOU,0.6333333333333333,0.6333333333333333,0.03333333333333333,0.36666666666666664,0.03333333333333333,
SAMME,150- AdaBoostClassifier,LOU,0.6333333333333333,0.6333333333333333,0.03333333333333333,0.36666666666666664,0.03333333333333333,
SAMME,200- AdaBoostClassifier,LOU,0.5666666666666667,0.5666666666666667,0.03333333333333333,0.43333333333333335,0.03333333333333333,
SAMME,250- AdaBoostClassifier,LOU,0.6,0.6,0.03333333333333333,0.4,0.03333333333333333,
SAMME,500- AdaBoostClassifier,LOU,0.6,0.6,0.03333333333333333,0.4,0.03333333333333333,
SAMME,750- AdaBoostClassifier,LOU,0.6,0.6,0.03333333333333333,0.4,0.03333333333333333,
SAMME,1000- AdaBoostClassifier,LOU,0.5666666666666667,0.5666666666666667,0.03333333333333333,0.43333333333333335,0.03333333333333333,
SAMME,1500- AdaBoostClassifier,LOU,0.5,0.5,0.03333333333333333,0.5,0.03333333333333333,
SAMME.R,10- AdaBoostClassifier,LOU,0.7333333333333333,0.7333333333333333,0.1,0.26666666666666666,0.1,
SAMME.R,20- AdaBoostClassifier,LOU,0.6666666666666666,0.6666666666666666,0.03333333333333333,0.3333333333333333,0.03333333333333333,
SAMME.R,50- AdaBoostClassifier,LOU,0.5666666666666667,0.5666666666666667,0.06666666666666667,0.43333333333333335,0.06666666666666667,
SAMME.R,100- AdaBoostClassifier,LOU,0.4666666666666667,0.4666666666666667,0.03333333333333333,0.5333333333333333,0.03333333333333333,
SAMME.R,150- AdaBoostClassifier,LOU,0.5,0.5,0.03333333333333333,0.5,0.03333333333333333,
SAMME.R,200- AdaBoostClassifier,LOU,0.6,0.6,0.06666666666666667,0.4,0.06666666666666667,
SAMME.R,250- AdaBoostClassifier,LOU,0.5666666666666667,0.5666666666666667,0.03333333333333333,0.43333333333333335,0.03333333333333333,
SAMME.R,500- AdaBoostClassifier,LOU,0.6333333333333333,0.6333333333333333,0.03333333333333333,0.36666666666666664,0.03333333333333333,
