algorithm,desc,actualScore,new score
MLPClassifier,tanh-lbfgs-constant (10-5-10),0.777777777778,0.454545454545
MLPClassifier,tanh-sgd-invscaling (15-10-5),0.777777777778,0.454545454545
MLPClassifier,relu-lbfgs-adaptive (5-10-5),0.777777777778,0.363636363636
MLPClassifier,relu-sgd-invscaling (10-5-5),0.777777777778,0.454545454545
MLPClassifier,relu-sgd-invscaling (15-15-5),0.777777777778,0.545454545455
auto,minkowski-distance KNN: 3,0.722222222222,0.454545454545
auto,euclidean-distance KNN: 3,0.722222222222,0.454545454545
ball_tree,minkowski-distance KNN: 3,0.722222222222,0.454545454545
ball_tree,euclidean-distance KNN: 3,0.722222222222,0.454545454545
kd_tree,minkowski-distance KNN: 3,0.722222222222,0.454545454545
