algorithm,description,validation,Accuracy,Recall,Precision,Hamming,F,Cohen
Naive Bayes,GaussianNB,LOU,0.155172413793,0.155172413793,0.0689655172414,0.844827586207,0.0689655172414,
Naive Bayes,BernoulliNB,LOU,0.5,0.5,0.0862068965517,0.5,0.0862068965517,
SVC,linear,LOU,0.465517241379,0.465517241379,0.0,0.534482758621,0.0,
SVC,poly,LOU,0.465517241379,0.465517241379,0.275862068966,0.534482758621,0.275862068966,
SVC,rbf,LOU,0.293103448276,0.293103448276,0.0172413793103,0.706896551724,0.0172413793103,
SVC,sigmoid,LOU,0.379310344828,0.379310344828,0.103448275862,0.620689655172,0.103448275862,
RandomForestClassifier,gini - 10,LOU,0.5,0.5,0.172413793103,0.5,0.172413793103,
RandomForestClassifier,gini - 20,LOU,0.5,0.5,0.189655172414,0.5,0.189655172414,
RandomForestClassifier,gini - 50,LOU,0.48275862069,0.48275862069,0.206896551724,0.51724137931,0.206896551724,
RandomForestClassifier,gini - 100,LOU,0.5,0.5,0.206896551724,0.5,0.206896551724,
RandomForestClassifier,gini - 150,LOU,0.5,0.5,0.189655172414,0.5,0.189655172414,
RandomForestClassifier,gini - 200,LOU,0.5,0.5,0.206896551724,0.5,0.206896551724,
RandomForestClassifier,gini - 250,LOU,0.51724137931,0.51724137931,0.206896551724,0.48275862069,0.206896551724,
RandomForestClassifier,gini - 500,LOU,0.5,0.5,0.172413793103,0.5,0.172413793103,
RandomForestClassifier,gini - 750,LOU,0.51724137931,0.51724137931,0.189655172414,0.48275862069,0.189655172414,
RandomForestClassifier,gini - 1000,LOU,0.51724137931,0.51724137931,0.189655172414,0.48275862069,0.189655172414,
RandomForestClassifier,gini - 1500,LOU,0.51724137931,0.51724137931,0.189655172414,0.48275862069,0.189655172414,
RandomForestClassifier,entropy - 10,LOU,0.48275862069,0.48275862069,0.189655172414,0.51724137931,0.189655172414,
RandomForestClassifier,entropy - 20,LOU,0.448275862069,0.448275862069,0.137931034483,0.551724137931,0.137931034483,
RandomForestClassifier,entropy - 50,LOU,0.465517241379,0.465517241379,0.189655172414,0.534482758621,0.189655172414,
RandomForestClassifier,entropy - 100,LOU,0.5,0.5,0.206896551724,0.5,0.206896551724,
