Algorithm,Description,tn
GaussianNB,Naive Bayes algoritmo,7
BernoulliNB,Naive Bayes algoritmo,9
SAMME,AdaBoostClassifier con 10 estimadores,5
SAMME,AdaBoostClassifier con 20 estimadores,5
SAMME,AdaBoostClassifier con 50 estimadores,5
SAMME,AdaBoostClassifier con 100 estimadores,5
SAMME,AdaBoostClassifier con 150 estimadores,5
SAMME,AdaBoostClassifier con 200 estimadores,5
SAMME,AdaBoostClassifier con 250 estimadores,5
SAMME,AdaBoostClassifier con 500 estimadores,5
SAMME,AdaBoostClassifier con 750 estimadores,5
SAMME,AdaBoostClassifier con 1000 estimadores,5
SAMME,AdaBoostClassifier con 1500 estimadores,5
SAMME.R,AdaBoostClassifier con 10 estimadores,4
SAMME.R,AdaBoostClassifier con 20 estimadores,5
SAMME.R,AdaBoostClassifier con 50 estimadores,6
SAMME.R,AdaBoostClassifier con 100 estimadores,5
SAMME.R,AdaBoostClassifier con 150 estimadores,5
SAMME.R,AdaBoostClassifier con 200 estimadores,5
SAMME.R,AdaBoostClassifier con 250 estimadores,5
SAMME.R,AdaBoostClassifier con 500 estimadores,5
SAMME.R,AdaBoostClassifier con 750 estimadores,5
SAMME.R,AdaBoostClassifier con 1000 estimadores,4
SAMME.R,AdaBoostClassifier con 1500 estimadores,4
auto,KNN con 1 vecinos peso: uniform metrica: minkowski,6
auto,KNN con 2 vecinos peso: uniform metrica: minkowski,9
auto,KNN con 3 vecinos peso: uniform metrica: minkowski,9
auto,KNN con 4 vecinos peso: uniform metrica: minkowski,10
auto,KNN con 5 vecinos peso: uniform metrica: minkowski,10
auto,KNN con 6 vecinos peso: uniform metrica: minkowski,10
auto,KNN con 7 vecinos peso: uniform metrica: minkowski,9
auto,KNN con 8 vecinos peso: uniform metrica: minkowski,9
auto,KNN con 9 vecinos peso: uniform metrica: minkowski,9
auto,KNN con 1 vecinos peso: uniform metrica: euclidean,6
auto,KNN con 2 vecinos peso: uniform metrica: euclidean,9
auto,KNN con 3 vecinos peso: uniform metrica: euclidean,9
auto,KNN con 4 vecinos peso: uniform metrica: euclidean,10
auto,KNN con 5 vecinos peso: uniform metrica: euclidean,10
auto,KNN con 6 vecinos peso: uniform metrica: euclidean,10
auto,KNN con 7 vecinos peso: uniform metrica: euclidean,9
auto,KNN con 8 vecinos peso: uniform metrica: euclidean,9
auto,KNN con 9 vecinos peso: uniform metrica: euclidean,9
auto,KNN con 1 vecinos peso: distance metrica: minkowski,6
auto,KNN con 2 vecinos peso: distance metrica: minkowski,6
auto,KNN con 3 vecinos peso: distance metrica: minkowski,9
auto,KNN con 4 vecinos peso: distance metrica: minkowski,9
auto,KNN con 5 vecinos peso: distance metrica: minkowski,9
auto,KNN con 6 vecinos peso: distance metrica: minkowski,10
auto,KNN con 7 vecinos peso: distance metrica: minkowski,10
auto,KNN con 8 vecinos peso: distance metrica: minkowski,9
auto,KNN con 9 vecinos peso: distance metrica: minkowski,8
auto,KNN con 1 vecinos peso: distance metrica: euclidean,6
auto,KNN con 2 vecinos peso: distance metrica: euclidean,6
auto,KNN con 3 vecinos peso: distance metrica: euclidean,9
auto,KNN con 4 vecinos peso: distance metrica: euclidean,9
auto,KNN con 5 vecinos peso: distance metrica: euclidean,9
auto,KNN con 6 vecinos peso: distance metrica: euclidean,10
auto,KNN con 7 vecinos peso: distance metrica: euclidean,10
auto,KNN con 8 vecinos peso: distance metrica: euclidean,9
auto,KNN con 9 vecinos peso: distance metrica: euclidean,8
ball_tree,KNN con 1 vecinos peso: uniform metrica: minkowski,6
ball_tree,KNN con 2 vecinos peso: uniform metrica: minkowski,9
ball_tree,KNN con 3 vecinos peso: uniform metrica: minkowski,9
ball_tree,KNN con 4 vecinos peso: uniform metrica: minkowski,10
ball_tree,KNN con 5 vecinos peso: uniform metrica: minkowski,10
ball_tree,KNN con 6 vecinos peso: uniform metrica: minkowski,10
ball_tree,KNN con 7 vecinos peso: uniform metrica: minkowski,9
ball_tree,KNN con 8 vecinos peso: uniform metrica: minkowski,9
ball_tree,KNN con 9 vecinos peso: uniform metrica: minkowski,9
ball_tree,KNN con 1 vecinos peso: uniform metrica: euclidean,6
ball_tree,KNN con 2 vecinos peso: uniform metrica: euclidean,9
ball_tree,KNN con 3 vecinos peso: uniform metrica: euclidean,9
ball_tree,KNN con 4 vecinos peso: uniform metrica: euclidean,10
ball_tree,KNN con 5 vecinos peso: uniform metrica: euclidean,10
ball_tree,KNN con 6 vecinos peso: uniform metrica: euclidean,10
ball_tree,KNN con 7 vecinos peso: uniform metrica: euclidean,9
ball_tree,KNN con 8 vecinos peso: uniform metrica: euclidean,9
ball_tree,KNN con 9 vecinos peso: uniform metrica: euclidean,9
ball_tree,KNN con 1 vecinos peso: distance metrica: minkowski,6
ball_tree,KNN con 2 vecinos peso: distance metrica: minkowski,6
ball_tree,KNN con 3 vecinos peso: distance metrica: minkowski,9
ball_tree,KNN con 4 vecinos peso: distance metrica: minkowski,9
ball_tree,KNN con 5 vecinos peso: distance metrica: minkowski,9
ball_tree,KNN con 6 vecinos peso: distance metrica: minkowski,10
ball_tree,KNN con 7 vecinos peso: distance metrica: minkowski,10
ball_tree,KNN con 8 vecinos peso: distance metrica: minkowski,9
ball_tree,KNN con 9 vecinos peso: distance metrica: minkowski,8
ball_tree,KNN con 1 vecinos peso: distance metrica: euclidean,6
ball_tree,KNN con 2 vecinos peso: distance metrica: euclidean,6
ball_tree,KNN con 3 vecinos peso: distance metrica: euclidean,9
ball_tree,KNN con 4 vecinos peso: distance metrica: euclidean,9
ball_tree,KNN con 5 vecinos peso: distance metrica: euclidean,9
ball_tree,KNN con 6 vecinos peso: distance metrica: euclidean,10
ball_tree,KNN con 7 vecinos peso: distance metrica: euclidean,10
ball_tree,KNN con 8 vecinos peso: distance metrica: euclidean,9
ball_tree,KNN con 9 vecinos peso: distance metrica: euclidean,8
kd_tree,KNN con 1 vecinos peso: uniform metrica: minkowski,6
