algorithm,desc,actualScore,new score
MLPClassifier,identity-sgd-invscaling (10-10-15),0.818181818182,0.45
MLPClassifier,tanh-sgd-invscaling (15-15-10),0.818181818182,0.55
MLPClassifier,relu-sgd-invscaling (15-15-5),0.818181818182,0.45
NuSVC,kernel: poly,0.727272727273,0.3
NuSVC,kernel: rbf,0.727272727273,0.3
auto,minkowski-distance KNN: 2,0.727272727273,0.35
auto,euclidean-distance KNN: 2,0.727272727273,0.35
ball_tree,minkowski-distance KNN: 2,0.727272727273,0.35
ball_tree,euclidean-distance KNN: 2,0.727272727273,0.35
kd_tree,minkowski-distance KNN: 2,0.727272727273,0.35
