algorithm,description,validation,Accuracy,Recall,Precision,Hamming,F,Cohen
Naive Bayes,GaussianNB,LOU,0.431034482759,0.431034482759,0.103448275862,0.568965517241,0.103448275862,
Naive Bayes,BernoulliNB,LOU,0.655172413793,0.655172413793,0.465517241379,0.344827586207,0.465517241379,
SVC,linear,LOU,0.586206896552,0.586206896552,0.586206896552,0.413793103448,0.586206896552,
SVC,poly,LOU,0.637931034483,0.637931034483,0.448275862069,0.362068965517,0.448275862069,
SVC,rbf,LOU,0.551724137931,0.551724137931,0.48275862069,0.448275862069,0.48275862069,
SVC,sigmoid,LOU,0.465517241379,0.465517241379,0.431034482759,0.534482758621,0.431034482759,
RandomForestClassifier,gini - 10,LOU,0.568965517241,0.568965517241,0.396551724138,0.431034482759,0.396551724138,
RandomForestClassifier,gini - 20,LOU,0.586206896552,0.586206896552,0.379310344828,0.413793103448,0.379310344828,
RandomForestClassifier,gini - 50,LOU,0.689655172414,0.689655172414,0.5,0.310344827586,0.5,
RandomForestClassifier,gini - 100,LOU,0.620689655172,0.620689655172,0.48275862069,0.379310344828,0.48275862069,
RandomForestClassifier,gini - 150,LOU,0.637931034483,0.637931034483,0.5,0.362068965517,0.5,
RandomForestClassifier,gini - 200,LOU,0.620689655172,0.620689655172,0.48275862069,0.379310344828,0.48275862069,
RandomForestClassifier,gini - 250,LOU,0.620689655172,0.620689655172,0.48275862069,0.379310344828,0.48275862069,
RandomForestClassifier,gini - 500,LOU,0.637931034483,0.637931034483,0.48275862069,0.362068965517,0.48275862069,
RandomForestClassifier,gini - 750,LOU,0.637931034483,0.637931034483,0.48275862069,0.362068965517,0.48275862069,
RandomForestClassifier,gini - 1000,LOU,0.620689655172,0.620689655172,0.465517241379,0.379310344828,0.465517241379,
RandomForestClassifier,gini - 1500,LOU,0.620689655172,0.620689655172,0.465517241379,0.379310344828,0.465517241379,
RandomForestClassifier,entropy - 10,LOU,0.551724137931,0.551724137931,0.396551724138,0.448275862069,0.396551724138,
RandomForestClassifier,entropy - 20,LOU,0.620689655172,0.620689655172,0.413793103448,0.379310344828,0.413793103448,
RandomForestClassifier,entropy - 50,LOU,0.620689655172,0.620689655172,0.465517241379,0.379310344828,0.465517241379,
RandomForestClassifier,entropy - 100,LOU,0.568965517241,0.568965517241,0.413793103448,0.431034482759,0.413793103448,
RandomForestClassifier,entropy - 150,LOU,0.603448275862,0.603448275862,0.465517241379,0.396551724138,0.465517241379,
RandomForestClassifier,entropy - 200,LOU,0.620689655172,0.620689655172,0.48275862069,0.379310344828,0.48275862069,
RandomForestClassifier,entropy - 250,LOU,0.620689655172,0.620689655172,0.48275862069,0.379310344828,0.48275862069,
RandomForestClassifier,entropy - 500,LOU,0.620689655172,0.620689655172,0.48275862069,0.379310344828,0.48275862069,
RandomForestClassifier,entropy - 750,LOU,0.603448275862,0.603448275862,0.465517241379,0.396551724138,0.465517241379,
RandomForestClassifier,entropy - 1000,LOU,0.620689655172,0.620689655172,0.48275862069,0.379310344828,0.48275862069,
RandomForestClassifier,entropy - 1500,LOU,0.603448275862,0.603448275862,0.465517241379,0.396551724138,0.465517241379,
NuSVC,kernel: linear,LOU,0.603448275862,0.603448275862,0.448275862069,0.396551724138,0.448275862069,
NuSVC,kernel: poly,LOU,0.568965517241,0.568965517241,0.431034482759,0.431034482759,0.431034482759,
NuSVC,kernel: rbf,LOU,0.551724137931,0.551724137931,0.448275862069,0.448275862069,0.448275862069,
NuSVC,kernel: sigmoid,LOU,0.724137931034,0.724137931034,0.448275862069,0.275862068966,0.448275862069,
GradientBoostingClassifier,GradientBoostingClassifier 10,LOU,0.568965517241,0.568965517241,0.465517241379,0.431034482759,0.465517241379,
GradientBoostingClassifier,GradientBoostingClassifier 20,LOU,0.586206896552,0.586206896552,0.448275862069,0.413793103448,0.448275862069,
GradientBoostingClassifier,GradientBoostingClassifier 50,LOU,0.5,0.5,0.379310344828,0.5,0.379310344828,
GradientBoostingClassifier,GradientBoostingClassifier 100,LOU,0.534482758621,0.534482758621,0.396551724138,0.465517241379,0.396551724138,
GradientBoostingClassifier,GradientBoostingClassifier 150,LOU,0.534482758621,0.534482758621,0.379310344828,0.465517241379,0.379310344828,
GradientBoostingClassifier,GradientBoostingClassifier 200,LOU,0.551724137931,0.551724137931,0.379310344828,0.448275862069,0.379310344828,
GradientBoostingClassifier,GradientBoostingClassifier 250,LOU,0.551724137931,0.551724137931,0.379310344828,0.448275862069,0.379310344828,
